designation,ra,dec,j_m
18293607-3417196,277.400324,-34.288784,6.696
11515367-3931294,177.973664,-39.52486,6.575
11504859-3915505,177.70246,-39.264046,6.409
11511163-3858127,177.798463,-38.9702,6.56
11430786-3947513,175.782757,-39.7976,6.323
11425057-3834491,175.71072,-38.580311,6.549
11420711-3852554,175.529661,-38.882065,6.969
11434736-3855110,175.947369,-38.919724,6.677
11401365-3908476,175.056887,-39.146564,6.987
11415647-3917028,175.485326,-39.284122,6.107
11431925-3735544,175.830236,-37.59845,6.496
11305228-3738383,172.717845,-37.643997,6.35
11361793-3842053,174.07471,-38.701473,6.756
11350476-3749443,173.769851,-37.828999,6.685
11421178-3820309,175.549096,-38.341934,6.611
11561851-2303041,179.077135,-23.051161,6.978
11590227-2324502,179.759499,-23.413948,6.292
11573208-2312078,179.383681,-23.20219,6.437
11482648-2305260,177.110358,-23.090578,6.05
11581172-2355257,179.548872,-23.92382,6.903
11553194-2327029,178.883095,-23.450823,5.915
11390344-2418206,174.764362,-24.305729,5.976
11372622-2313324,174.359253,-23.225674,6.337
11374065-2340149,174.419381,-23.670832,6.132
11454539-2505399,176.439139,-25.094425,6.788
11462751-2458345,176.614662,-24.976254,6.611
11451023-2428255,176.292646,-24.473759,6.91
11432120-2445289,175.838349,-24.758049,6.206
11452284-2500419,176.345185,-25.011639,6.647
11462995-2304228,176.624824,-23.073011,6.619
11433635-2412566,175.901469,-24.215748,6.718
11415797-2423088,175.491542,-24.385805,6.188
11405684-2403489,175.236873,-24.063587,6.496
11573090-2703213,179.378789,-27.055939,6.175
11585438-2554319,179.726617,-25.908863,6.287
11483621-2554141,177.150889,-25.903917,6.556
11530961-2643249,178.290071,-26.723604,6.993
11535074-2550091,178.461431,-25.835876,6.679
11563249-2632136,179.135384,-26.537121,6.751
11553826-2619567,178.909424,-26.33242,6.274
11474007-2528259,176.916977,-25.473881,6.539
11572011-2519579,179.333822,-25.332775,6.653
11555698-2455329,178.987419,-24.925823,5.849
11075912-2351304,166.99637,-23.858465,6.45
11194446-2514515,169.935275,-25.247641,6.978
11190480-2354391,169.770033,-23.910877,6.768
11174756-2358315,169.448179,-23.975418,6.42
11163715-2429378,169.154825,-24.493855,6.521
11152080-2432479,168.8367,-24.54665,6.81
11284516-2745305,172.188195,-27.758474,6.502
11300300-2633021,172.512514,-26.550604,6.934
11251608-2631557,171.317031,-26.532139,6.12
11235297-2657289,170.970749,-26.958044,5.804
11325790-2326379,173.241268,-23.443871,6.985
11330132-2354241,173.255524,-23.9067,6.298
11231833-2342235,170.826391,-23.70653,5.567
11244143-2429081,171.172662,-24.48559,6.634
11294535-2500070,172.438971,-25.001957,6.061
11272906-2405092,171.871112,-24.085892,5.559
11310100-2553586,172.754177,-25.899637,6.127
11270576-2615128,171.774015,-26.253574,6.917
11212653-2359400,170.360565,-23.994459,5.942
11202602-2454414,170.108442,-24.91151,6.01
11220530-2446393,170.522099,-24.777597,6.397
11202751-2609267,170.11465,-26.157436,6.945
11221609-2511418,170.567081,-25.194954,5.918
11254877-2601456,171.453238,-26.029346,6.81
11262803-2514401,171.616808,-25.244473,6.37
11231881-2534200,170.828409,-25.572237,6.797
11593407-3256485,179.891975,-32.946815,6.317
11592885-3118308,179.870236,-31.308565,5.982
11562266-3111166,179.094455,-31.187965,6.329
11580368-3139033,179.515357,-31.650932,6.239
11484044-3136416,177.168516,-31.611582,6.367
11544755-3140054,178.698142,-31.668171,6.393
11595324-2900459,179.971853,-29.012751,6.425
11522649-2900224,178.110409,-29.006237,6.056
11592837-3012314,179.868217,-30.208731,6.953
11590516-3015555,179.771513,-30.265432,6.962
11594485-2930033,179.936885,-29.500935,6.124
11360917-2910401,174.038236,-29.177814,6.796
11453955-3057183,176.414829,-30.955088,5.884
11443932-2953055,176.163865,-29.884871,6.546
11435664-2944518,175.986036,-29.747738,5.962
11400874-2920130,175.036423,-29.33695,6.067
11403888-3008180,175.162023,-30.138336,6.883
11410570-2943444,175.273775,-29.729004,6.773
11462733-2916408,176.61391,-29.278023,6.749
11464995-2921177,176.708136,-29.354939,6.844
11472825-3111024,176.867727,-31.18401,6.52
11470168-3030065,176.757038,-30.50182,6.913
11491491-3040015,177.312151,-30.667097,6.461
11540352-3042065,178.514673,-30.701832,6.64
11360947-2827194,174.039471,-28.455393,6.912
11342485-2810303,173.603564,-28.1751,6.949
11343146-2817174,173.631084,-28.28817,6.899
11344918-2824370,173.704945,-28.410297,5.847
11420976-2804212,175.540678,-28.072573,6.364
11411494-2803196,175.312273,-28.055462,6.63
11335068-2648557,173.461185,-26.815493,6.472
11334388-2726184,173.432836,-27.438461,6.632
11531998-2732437,178.333282,-27.545485,6.681
11553191-2808317,178.882982,-28.142151,6.818
11554252-2801266,178.927205,-28.024082,6.918
11551431-2744111,178.809632,-27.736437,6.756
11471990-2557413,176.832955,-25.961491,6.868
11470565-2559083,176.773569,-25.985651,6.72
11471905-2632493,176.829382,-26.547045,6.654
19382472-4627285,294.60302,-46.457928,6.074
19091078-4349013,287.29493,-43.817043,6.813
19124177-4409385,288.174063,-44.160706,6.796
19113668-4532175,287.90285,-45.538212,6.531
19124133-4516120,288.172233,-45.270008,6.207
19145588-4735047,288.732869,-47.584656,6.388
19160194-4720510,289.00811,-47.347519,6.801
19131055-4659119,288.293993,-46.986652,6.125
19134629-4705532,288.44291,-47.098118,6.887
19194380-4622357,289.932533,-46.376606,6.661
19115681-4608405,287.986747,-46.144596,5.977
19170201-4646474,289.258398,-46.779846,6.904
19151365-4653085,288.806881,-46.885696,6.894
19253468-4457469,291.394527,-44.963043,6.676
19254281-4533160,291.428403,-45.554462,6.033
19205992-4436094,290.249669,-44.602615,6.821
19224298-4528223,290.679117,-45.472878,6.693
19230459-4458143,290.769127,-44.970665,6.054
19190281-4602575,289.761732,-46.049316,6.807
19190859-4601330,289.785833,-46.025841,5.398
19181544-4437059,289.564357,-44.618317,6.92
19160170-4550257,289.007112,-45.840492,6.594
19141250-4525216,288.552106,-45.422676,6.348
19164290-4553213,289.178755,-45.889275,6.45
19172310-4525278,289.346279,-45.4244,6.794
19243130-4623526,291.130432,-46.397972,6.259
19282647-4628319,292.110308,-46.475529,5.954
19151393-4752331,288.808053,-47.875877,5.805
19224078-4702355,290.669938,-47.043209,6.275
19205406-4726476,290.225265,-47.446571,6.917
19330572-4835429,293.273847,-48.595276,6.532
19291769-4748346,292.323709,-47.80962,6.558
19330532-4751558,293.272171,-47.865509,6.925
19271771-4830407,291.823827,-48.511318,5.953
19295455-4827310,292.477301,-48.458637,5.743
19294899-4815276,292.454166,-48.257694,6.814
19303154-4826097,292.631436,-48.436031,6.938
19320028-4803459,293.001174,-48.062767,6.42
19244842-4805315,291.201753,-48.092102,6.422
19282551-4752561,292.1063,-47.882263,5.944
19302502-4728422,292.604285,-47.478397,6.65
19293710-4733397,292.404617,-47.561054,6.83
19292485-4734504,292.353548,-47.580685,6.73
19251024-4727239,291.292681,-47.45665,6.955
19132217-4259053,288.342381,-42.984806,6.433
19150156-4304493,288.756502,-43.080376,6.99
19133344-4304205,288.389366,-43.072384,7.0
19262383-4335089,291.599321,-43.585808,5.572
19224087-4427255,290.670314,-44.457088,6.586
19244993-4416488,291.208077,-44.280224,5.794
19205375-4120232,290.223999,-41.339783,6.602
19224942-4135423,290.705928,-41.595097,6.798
19220360-4122279,290.515027,-41.374428,6.217
19200593-4225157,290.024722,-42.421051,6.286
19185773-4144343,289.740568,-41.742863,6.965
19193313-4203549,289.888054,-42.065269,6.996
19172143-4227388,289.339319,-42.460796,6.033
19182549-4254072,289.606215,-42.902,5.835
19184573-4415579,289.690553,-44.266094,6.942
19211556-4336190,290.314868,-43.605278,6.52
19492771-4544525,297.365482,-45.74794,5.352
19475234-4543038,296.968106,-45.717731,6.904
19472052-4428159,296.835514,-44.471104,6.102
19431494-4521240,295.812287,-45.356667,6.421
19422922-4518559,295.62176,-45.315529,6.478
19421346-4520515,295.556095,-45.347656,6.846
19443143-4526319,296.130967,-45.4422,6.863
19423827-4246491,295.659493,-42.780323,6.796
19402386-4321369,295.099421,-43.360256,6.907
19444222-4315052,296.175944,-43.251465,6.132
19424504-4304311,295.687708,-43.075329,6.283
19321399-4432469,293.058302,-44.546383,5.51
19393381-4534329,294.89088,-45.575829,5.785
19392956-4529547,294.873198,-45.498528,5.815
19391920-4525418,294.830023,-45.428303,6.714
19361867-4456533,294.077811,-44.948151,6.586
19372094-4425227,294.337274,-44.422989,6.416
19364196-4425132,294.174871,-44.420338,6.92
19362345-4410373,294.097723,-44.177052,6.884
19364979-4435590,294.207477,-44.599739,6.582
19394179-4516426,294.924126,-45.278522,5.684
19423027-4451254,295.626133,-44.857056,6.879
19414618-4453491,295.442455,-44.896973,6.895
19431910-4423501,295.829591,-44.397255,6.518
19413791-4436382,295.407986,-44.610622,6.874
19412423-4405005,295.350998,-44.083481,6.409
19350453-3827454,293.768885,-38.462627,6.894
19325350-3856567,293.222949,-38.949085,6.641
19383589-3937187,294.649582,-39.621864,5.976
19362575-3943094,294.107311,-39.719288,6.506
19332954-3844230,293.373121,-38.739738,6.37
19352555-3904186,293.856474,-39.071838,6.825
19274329-4005500,291.930401,-40.097248,6.138
19290074-4019185,292.253084,-40.321819,6.149
19280556-4050050,292.023191,-40.83474,6.19
19285856-4019268,292.244025,-40.324135,6.872
19281045-4027406,292.043553,-40.461292,6.791
19375038-4143409,294.459922,-41.728039,6.726
19355880-4104496,293.995019,-41.080448,6.379
19355302-4126459,293.970942,-41.446087,6.785
19373670-4130319,294.402954,-41.508884,6.874
19373938-4127296,294.414111,-41.458244,6.812
19390115-4107415,294.754806,-41.128201,6.419
19352540-3951286,293.855834,-39.85796,6.735
19361197-4012412,294.049909,-40.21146,6.674
19363660-4006271,294.152522,-40.107529,6.927
19314825-4013173,292.951051,-40.221478,6.478
19340848-4002046,293.535369,-40.03463,5.685
19381482-0215442,294.561762,-2.262291,6.79
19411842-0141305,295.326759,-1.691819,6.927
19405504-0152123,295.229356,-1.870087,6.49
19392568-0212365,294.857037,-2.210145,6.709
19380914-0200522,294.538113,-2.014521,6.941
19413468-1036548,295.394524,-10.615235,6.782
19402661-1035552,295.110875,-10.598693,6.712
19391435-1036580,294.809814,-10.616135,6.405
19374947-1110112,294.456151,-11.169798,6.727
19382562-1108536,294.60676,-11.148224,6.233
19395444-1115067,294.976835,-11.251876,6.761
19453076-0936374,296.378178,-9.610415,6.793
19430973-0920314,295.790543,-9.342066,6.802
19435307-0923544,295.971163,-9.398472,6.117
19434980-0937322,295.957536,-9.625619,6.522
19372005-0921102,294.333559,-9.352838,6.191
19364565-1026362,294.190241,-10.443408,6.891
19383279-0957143,294.636639,-9.95398,6.83
19374301-0958279,294.429222,-9.974437,6.762
19404902-0909261,295.204278,-9.157271,6.849
19410669-0925171,295.277907,-9.421418,6.579
19411863-0920450,295.327645,-9.345857,6.657
19391207-0947461,294.800304,-9.796152,6.85
19400034-0933570,295.001441,-9.565859,6.626
19395308-1028370,294.971186,-10.476958,6.409
19543221-0622434,298.634249,-6.378737,6.326
19525479-0614268,298.228297,-6.240796,6.644
19532119-0648502,298.338306,-6.813972,6.206
19523551-0708039,298.14797,-7.134424,6.606
